ID,ROLES,SALARY,EDUCATION,EXPERIENCE,NOC CODE,TEER,BUSINESS,LOCATIONS,PUBLISHED DATES,EMPLOYMENT TYPE,JOB DURATION,WEEKLY HOURS,VACANCIES,WORK PERMIT
41527339,retail store supervisor,$20.00,Secondary (high) school graduation certificate,1 year to less than 2 years,62010,2,2466867 Alberta Ltd.,Ponoka (AB),"July 26, 2024",Full time,Permanent employment,35 hours per week,3,No
41523715,kitchen manager,$18.00,Secondary (high) school graduation certificate,2 years to less than 3 years,62020,2,PK 17TH AVENUE INC.,Calgary (AB),"July 26, 2024",Full time,Permanent employment,35 hours per week,1,Yes
41522056,restaurant assistant manager,$20.00,Secondary (high) school graduation certificate,1 year to less than 2 years,60030,0,2539769 Ontario Inc.,Orangeville (ON),"July 25, 2024",Full time,Permanent employment,30 to 40 hours per week,3,Yes
41519636,esthetician,$17.60,Secondary (high) school graduation certificate,1 year to less than 2 years,63211,3,I.FAB BEAUTY SALON,Oakville (ON),"July 25, 2024",Full time,Permanent employment,35 hours per week,1,Yes
41513766,greenhouse labourer,$16.71,"No degree, certificate or diploma",Will train,85103,5,Prism Farms Ltd,Leamington (ON),"July 24, 2024",Full time,Permanent employment,40 to 50 hours per week,25,No
41513751,farm supervisor,$22.00,"No degree, certificate or diploma",2 years to less than 3 years,82030,2,1628487 AB Ltd,Warner (AB),"July 24, 2024",Full time,Permanent employment,40 hours per week,1,Yes
41508362,retail store supervisor,$21.00,Secondary (high) school graduation certificate,7 months to less than 1 year,62010,2,Canadian Tire Gas Station,Newcastle (ON),"July 23, 2024",Full time,Term or contract,40 hours per week,2,Yes
41503709,welder,$26.00,Secondary (high) school graduation certificate,1 year to less than 2 years,72106,2,Pride Truck Sales Ltd.,Mississauga (ON),"July 22, 2024",Full time,Permanent employment,30 to 40 hours per week,2,No
41501434,food service supervisor,$17.00,"No degree, certificate or diploma",1 year to less than 2 years,62020,2,Tim Hortons,Medicine Hat (AB),"July 22, 2024",Full time,Permanent employment,30 to 40 hours per week,7,Yes
41500587,restaurant manager,$25.00,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years",2 years to less than 3 years,60030,0,Shriji Catering & Takeout Services Inc.,Brampton (ON),"July 22, 2024",Full time,Permanent employment,35 hours per week,1,No
41500088,fruit farm worker,$16.71,"No degree, certificate or diploma",Experience an asset,85101,5,Maile Spirits Corp.,Thornbury (ON),"July 22, 2024",Full time,Seasonal employment,32 to 44 hours per week,3,Yes
41499580,general store manager,$39.00,Bachelor's degree,2 years to less than 3 years,60020,0,CANADIAN TIRE GAS BAR,Waterdown (ON),"July 22, 2024",Full time,Permanent employment,42.5 hours per week,1,No
41499579,shift manager - fast food restaurant,$17.75,Secondary (high) school graduation certificate,1 year to less than 2 years,62020,2,2428957 Ontario Inc. Brampton,Brampton (ON),"July 22, 2024",Full time,Permanent employment,30 to 40 hours per week,2,Yes
41498952,"assembler, plastic products",$22.82,"No degree, certificate or diploma",1 to less than 7 months,94212,4,KP Building Products,Alexandria (ON),"July 22, 2024",Full time,Permanent employment,84 hours bi-weekly,3,Yes
41489736,auto glass installer,$20.00,Secondary (high) school graduation certificate,Experience an asset,72411,2,Aspen Auto Glass,Canmore (AB),"July 19, 2024",Full time,Permanent employment,40 to 44 hours per week,2,No
41489633,general construction supervisor,$40.50,Secondary (high) school graduation certificate,1 year to less than 2 years,72021,2,P GILL CONSTRUCTION LTD.,Edmonton (AB),"July 19, 2024",Full time,Permanent employment,37.5 hours per week,1,No
41486235,driller - oil and gas drilling,$26.00,Other trades certificate or diploma,1 to less than 7 months,83101,3,Green Energy Services Inc,Sexsmith (AB),"July 19, 2024",Full time,Permanent employment,40 to 60 hours per week,2,Yes
41485863,security guard supervisor,$23.00,"No degree, certificate or diploma",7 months to less than 1 year,62029,2,OBN Consulting Inc,Etobicoke (ON),"July 19, 2024",Full time,Permanent employment,35 to 44 hours per week,5,Yes
41484739,flat roofer,$32.00,"No degree, certificate or diploma",3 years to less than 5 years,73110,3,HSX INCORPORATED,Markham (ON),"July 19, 2024",Full time,Permanent employment,35 to 44 hours per week,4,Yes
41481682,food service supervisor,$18.70,Secondary (high) school graduation certificate,1 year to less than 2 years,62020,2,Bar Burrito Canmore,Canmore (AB),"July 18, 2024",Full time,Permanent employment,30 to 40 hours per week,2,Yes
41480898,greaser,$21.00,"No degree, certificate or diploma",Will train,74203,4,HUMBLE LOGISTICS LTD.,Edmonton (AB),"July 18, 2024",Full time,Permanent employment,35 hours per week,2,Yes
41477244,retail store supervisor,$22.00,Secondary (high) school graduation certificate,7 months to less than 1 year,62010,2,Connexions Ltd.,Oshawa (ON),"July 18, 2024",Full time,Permanent employment,30 to 35 hours per week,1,No
41476779,truck driver,$28.50,Secondary (high) school graduation certificate,Will train,73300,3,JD Linehaul Inc.,Caledon (ON),"July 18, 2024",Full time,Permanent employment,40 to 50 hours per week,1,Yes
41475476,daycare coordinator,$29.50,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years",2 years to less than 3 years,42202,2,2438207 ALBERTA LTD,Okotoks (AB),"July 17, 2024",Full time,Permanent employment,40 hours per week,1,No
41475229,insurance agent,$32.21,Secondary (high) school graduation certificate,7 months to less than 1 year,63100,3,Jeff Cooke Insurance Agency Ltd,Calgary (AB),"July 17, 2024",Full time,Permanent employment,35 to 40 hours per week,2,Yes
41474416,campus maintenance manager,0.00,Bachelor's degree,1 year to less than 2 years,70012,0,Camp Cadicasu,Kananaskis (AB),"July 17, 2024",Full time,Term or contract,40 hours per week,1,Yes
41473316,baker,$18.00,Secondary (high) school graduation certificate,Will train,63202,3,West Hill Bakers Hut Inc.,Scarborough (ON),"July 17, 2024",Full time,Permanent employment,37.5 hours per week,2,Yes
41472935,appliance service technician,$22.00,Other trades certificate or diploma,5 years or more,72421,2,Tabreed Thermal Control Limited,Hamilton (ON),"July 17, 2024",Full time,Permanent employment,40 to 44 hours per week,1,Yes
41472895,medical administrative assistant,$25.00,Secondary (high) school graduation certificate,Experience an asset,13112,3,CHAULA MEHTA MEDICINE PROFESSIONAL CORPORATION,Mississauga (ON),"July 17, 2024",Full time,Permanent employment,30 to 44 hours per week,1,No
41472420,cook,$16.55,Secondary (high) school graduation certificate,1 year to less than 2 years,63200,3,SME PIZZA ONTARIO LTD.,Scarborough (ON),"July 17, 2024",Full time,Permanent employment,32 hours per week,4,No
41472373,food service supervisor,$17.00,Secondary (high) school graduation certificate,1 year to less than 2 years,62020,2,SME PIZZA ONTARIO LTD.,East York (ON),"July 17, 2024",Full time,Permanent employment,32 hours per week,2,No
41471988,meat packager,$17.00,"No degree, certificate or diploma",1 year to less than 2 years,95106,5,2213256 Ontario Ltd,Georgetown (ON),"July 17, 2024",Full time,Permanent employment,40 hours per week,10,Yes
41471460,food service supervisor,$18.65,Secondary (high) school graduation certificate,1 year to less than 2 years,62020,2,2092825 Alberta Ltd. O/A The Chopped Leaf,Edmonton (AB),"July 17, 2024",Full time,Permanent employment,35 hours per week,1,Yes
41469072,psychiatrist,0.00,Bachelor's degree,1 year to less than 2 years,31100,1,Precision Medical Centre Inc,Nepean (ON),"July 16, 2024",Full time,Permanent employment,35 to 45 hours per week,6,Yes
41467970,administrative assistant,$25.00,Secondary (high) school graduation certificate,7 months to less than 1 year,13110,3,Canada Fortune Group Inc,Mississauga (ON),"July 16, 2024",Full time,Permanent employment,35 hours per week,3,Yes
41465728,"farm labourer, grain",$27.50,"No degree, certificate or diploma",1 year to less than 2 years,85101,5,"CEDAR BROOK FARMS, LTD.",Dapp (AB),"July 16, 2024",Full time,Permanent employment,40 to 60 hours per week,1,No
41463988,cook,$18.25,Secondary (high) school graduation certificate,2 years to less than 3 years,63200,3,TOPS PIZZA & STEAK HOUSE LTD.,Calgary (AB),"July 16, 2024",Full time,Permanent employment,40 hours per week,2,No
41461196,heavy-duty equipment technician,$38.00,Other trades certificate or diploma,Experience an asset,72401,2,Mr. Diesel Inc,Calgary (AB),"July 15, 2024",Full time,Permanent employment,40 hours per week,5,Yes
41460457,cook,$16.55,Secondary (high) school graduation certificate,1 year to less than 2 years,63200,3,Philthy Philly's Cheesesteak & Poutinerie,Burlington (ON),"July 15, 2024",Full time,Permanent employment,35 hours per week,2,Yes
41460166,"guard, security",$19.00,Secondary (high) school graduation certificate,Will train,64410,4,Central Protection Services Inc.,Edmonton (AB),"July 15, 2024",Full time,Permanent employment,30 hours per week,5,Yes
41459666,truck driver,$25.00,Secondary (high) school graduation certificate,Will train,73300,3,COAST TO COAST XPRESS INC,Brampton (ON),"July 15, 2024",Full time,Permanent employment,32 to 40 hours per week,1,Yes
41459653,framer-carpenter,$28.50,Secondary (high) school graduation certificate,1 to less than 7 months,72310,2,U.K.RENOVATIONS INC,Woodbridge (ON),"July 15, 2024",Full time,Permanent employment,35 hours per week,2,Yes
41459537,maintenance manager,$47.12,Other trades certificate or diploma,5 years or more,70012,0,Lullaboo Nursery and Childcare center,Richmond Hill (ON),"July 15, 2024",Full time,Permanent employment,34 hours per week,1,Yes
41459120,administrative assistant,$29.00,Secondary (high) school graduation certificate,7 months to less than 1 year,13110,3,GL2 Trucking INC,Mississauga (ON),"July 15, 2024",Full time,Permanent employment,30 hours per week,1,No
